Algorithm, Search strategy, Query, Modelname, #Results),
czero, BestFS, CTLCardinality, Angiogenesis-PT-01,12,
czero, BestFS, CTLFireability, Angiogenesis-PT-01,12,
czero, BestFS, CTLFireabilitySimple, Angiogenesis-PT-01,12,
czero, BestFS, CTLCardinality, Angiogenesis-PT-05,4,
czero, BestFS, CTLFireability, Angiogenesis-PT-05, ,
czero, BestFS, CTLFireabilitySimple, Angiogenesis-PT-05, ,
czero, BestFS, CTLCardinality, Angiogenesis-PT-10, ,
czero, BestFS, CTLFireability, Angiogenesis-PT-10, ,
czero, BestFS, CTLFireabilitySimple, Angiogenesis-PT-10, ,
czero, BestFS, CTLCardinality, ARMCacheCoherence-PT-none, ,
czero, BestFS, CTLFireability, ARMCacheCoherence-PT-none, ,
czero, BestFS, CTLFireabilitySimple, ARMCacheCoherence-PT-none,3,
czero, BestFS, CTLCardinality, CircadianClock-PT-000001,12,
czero, BestFS, CTLFireability, CircadianClock-PT-000001,14,
czero, BestFS, CTLFireabilitySimple, CircadianClock-PT-000001,15,
czero, BestFS, CTLCardinality, CircadianClock-PT-000010, ,
czero, BestFS, CTLFireability, CircadianClock-PT-000010,5,
czero, BestFS, CTLFireabilitySimple, CircadianClock-PT-000010,7,
czero, BestFS, CTLCardinality, CircadianClock-PT-000100, ,
czero, BestFS, CTLFireability, CircadianClock-PT-000100,7,
czero, BestFS, CTLFireabilitySimple, CircadianClock-PT-000100,11,
czero, BestFS, CTLCardinality, CircularTrains-PT-012,12,
czero, BestFS, CTLFireability, CircularTrains-PT-012,10,
czero, BestFS, CTLFireabilitySimple, CircularTrains-PT-012,11,
czero, BestFS, CTLCardinality, CircularTrains-PT-024,8,
czero, BestFS, CTLFireability, CircularTrains-PT-024,4,
czero, BestFS, CTLFireabilitySimple, CircularTrains-PT-024,15,
czero, BestFS, CTLCardinality, CircularTrains-PT-048,4,
czero, BestFS, CTLFireability, CircularTrains-PT-048,1,
czero, BestFS, CTLFireabilitySimple, CircularTrains-PT-048, ,
czero, BestFS, CTLCardinality, CSRepetitions-PT-02,15,
czero, BestFS, CTLFireability, CSRepetitions-PT-02,13,
czero, BestFS, CTLFireabilitySimple, CSRepetitions-PT-02,14,
czero, BestFS, CTLCardinality, CSRepetitions-PT-03,1,
czero, BestFS, CTLFireability, CSRepetitions-PT-03, ,
czero, BestFS, CTLFireabilitySimple, CSRepetitions-PT-03,3,
czero, BestFS, CTLCardinality, CSRepetitions-PT-04,2,
czero, BestFS, CTLFireability, CSRepetitions-PT-04,1,
czero, BestFS, CTLFireabilitySimple, CSRepetitions-PT-04,2,
czero, BestFS, CTLCardinality, DatabaseWithMutex-PT-02,15,
czero, BestFS, CTLFireability, DatabaseWithMutex-PT-02,13,
czero, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-02,13,
czero, BestFS, CTLCardinality, DatabaseWithMutex-PT-04,2,
czero, BestFS, CTLFireability, DatabaseWithMutex-PT-04, ,
czero, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-04, ,
czero, BestFS, CTLCardinality, DatabaseWithMutex-PT-10,1,
czero, BestFS, CTLFireability, DatabaseWithMutex-PT-10,1,
czero, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-10, ,
czero, BestFS, CTLCardinality, Dekker-PT-010,5,
czero, BestFS, CTLFireability, Dekker-PT-010,12,
czero, BestFS, CTLFireabilitySimple, Dekker-PT-010,2,
czero, BestFS, CTLCardinality, Dekker-PT-015, ,
czero, BestFS, CTLFireability, Dekker-PT-015,2,
czero, BestFS, CTLFireabilitySimple, Dekker-PT-015,10,
czero, BestFS, CTLCardinality, Dekker-PT-020,1,
czero, BestFS, CTLFireability, Dekker-PT-020, ,
czero, BestFS, CTLFireabilitySimple, Dekker-PT-020,11,
czero, BestFS, CTLCardinality, DrinkVendingMachine-PT-02,15,
czero, BestFS, CTLFireability, DrinkVendingMachine-PT-02,13,
czero, BestFS, CTLFireabilitySimple, DrinkVendingMachine-PT-02,12,
czero, BestFS, CTLCardinality, EnergyBus-PT-none, ,
czero, BestFS, CTLFireability, EnergyBus-PT-none, ,
czero, BestFS, CTLFireabilitySimple, EnergyBus-PT-none, ,
czero, BestFS, CTLCardinality, Eratosthenes-PT-010,14,
czero, BestFS, CTLFireability, Eratosthenes-PT-010,13,
czero, BestFS, CTLFireabilitySimple, Eratosthenes-PT-010,12,
czero, BestFS, CTLCardinality, Eratosthenes-PT-020,12,
czero, BestFS, CTLFireability, Eratosthenes-PT-020,11,
czero, BestFS, CTLFireabilitySimple, Eratosthenes-PT-020,12,
czero, BestFS, CTLCardinality, Eratosthenes-PT-050,2,
czero, BestFS, CTLFireability, Eratosthenes-PT-050, ,
czero, BestFS, CTLFireabilitySimple, Eratosthenes-PT-050, ,
czero, BestFS, CTLCardinality, ERK-PT-000001,15,
czero, BestFS, CTLFireability, ERK-PT-000001,12,
czero, BestFS, CTLFireabilitySimple, ERK-PT-000001,13,
czero, BestFS, CTLCardinality, ERK-PT-000010,8,
czero, BestFS, CTLFireability, ERK-PT-000010,6,
czero, BestFS, CTLFireabilitySimple, ERK-PT-000010,7,
czero, BestFS, CTLCardinality, ERK-PT-000100, ,
czero, BestFS, CTLFireability, ERK-PT-000100, ,
czero, BestFS, CTLFireabilitySimple, ERK-PT-000100,7,
czero, BestFS, CTLCardinality, FMS-PT-005, ,
czero, BestFS, CTLFireability, FMS-PT-005, ,
czero, BestFS, CTLFireabilitySimple, FMS-PT-005,1,
czero, BestFS, CTLCardinality, FMS-PT-010, ,
czero, BestFS, CTLFireability, FMS-PT-010, ,
czero, BestFS, CTLFireabilitySimple, FMS-PT-010, ,
