Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.141, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.126, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 1.791, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 1.687, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.118, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 1.825, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 3.379, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.068, 489, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 3.863, 672, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 0.019, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.112, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.068, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.104, 11, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.896, 226, 110
czero, DFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.369, 668, 110
czero, DFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.146, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.141, 19, 8
czero, DFS, Angiogenesis-PT-01-CTLCardinality-9 T, 1.931, 268, 87
czero, DFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.059, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.206, 34, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-7 T, 1.966, 492, 106
czero, DFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.04, 12, 0
czero, DFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.037, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-14 F, 8.07, 991, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireability-9 T, 0.08, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-12 F, 0.099, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-4 F, 3.434, 348, 102
czero, BestFS, Angiogenesis-PT-01-CTLFireability-7 T, 0.093, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-15 F, 0.039, 4, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-13 F, 0.202, 26, 8
czero, BestFS, Angiogenesis-PT-01-CTLFireability-3 F, 6.281, 572, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireability-8 F, 0.039, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-5 F, 0.149, 16, 6
czero, BestFS, Angiogenesis-PT-01-CTLFireability-6 F, 0.043, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLFireability-11 T, 0.142, 13, 8
czero, DFS, Angiogenesis-PT-01-CTLFireability-15 F, 0.132, 11, 3
czero, DFS, Angiogenesis-PT-01-CTLFireability-6 F, 0.054, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-9 T, 0.075, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-14 F, 3.352, 467, 87
czero, DFS, Angiogenesis-PT-01-CTLFireability-4 F, 0.071, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-8 F, 0.078, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-13 F, 0.28, 34, 8
czero, DFS, Angiogenesis-PT-01-CTLFireability-10 F, 0.077, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-3 F, 1.986, 199, 91
czero, DFS, Angiogenesis-PT-01-CTLFireability-7 T, 0.115, 13, 3
czero, DFS, Angiogenesis-PT-01-CTLFireability-11 T, 0.195, 13, 8
czero, DFS, Angiogenesis-PT-01-CTLFireability-12 F, 0.13, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLFireability-5 F, 0.395, 35, 9
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-4 F, 0.161, 16, 8
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-7 F, 0.555, 12, 8
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-12 F, 2.81, 331, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-15 F, 0.109, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-8 F, 0.115, 10, 6
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-14 T, 0.169, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-11 T, 3.324, 220, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-10 T, 0.414, 44, 18
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-13 F, 2.892, 331, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-2 T, 2.938, 220, 110
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-6 F, 0.116, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-5 F, 0.073, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-15 F, 0.188, 17, 9
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-10 T, 0.096, 6, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-11 T, 1.756, 177, 91
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-9 T, 0.17, 5, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-14 T, 0.166, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-13 F, 0.228, 17, 9
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-8 F, 0.109, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-7 F, 0.153, 12, 8
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-4 F, 0.151, 16, 8
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-5 F, 0.166, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-6 F, 0.103, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-3 F, 0.068, 7, 3
czero, DFS, Angiogenesis-PT-01-CTLFireabilitySimple-12 F, 0.251, 21, 9
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.021, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.176, 34, 12
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.024, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-12 F, 0.131, 40, 12
czero, DFS, Angiogenesis-PT-05-CTLCardinality-9 T, 6672.03, 106157, 59529
czero, DFS, Angiogenesis-PT-05-CTLCardinality-3 F, 6057.6, 99286, 56755
czero, DFS, Angiogenesis-PT-05-CTLCardinality-1 T, 220.789, 26180, 19305
czero, DFS, Angiogenesis-PT-05-CTLCardinality-7 F, 131.313, 15964, 12189
czero, DFS, Angiogenesis-PT-05-CTLCardinality-6 T, 54.214, 6660, 5070
czero, DFS, Angiogenesis-PT-05-CTLCardinality-0 T, 29.143, 4098, 1475
czero, DFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.165, 34, 12
czero, DFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.12, 1, 0
czero, DFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.15, 1, 0
czero, DFS, Angiogenesis-PT-05-CTLFireability-7 F, 242363, 1029049, 669191
czero, DFS, Angiogenesis-PT-05-CTLFireability-10 T, 25563.3, 456801, 313517
czero, DFS, Angiogenesis-PT-05-CTLFireability-4 F, 4643.91, 298474, 208652
czero, DFS, Angiogenesis-PT-05-CTLFireability-9 F, 1289.32, 136924, 92885
czero, DFS, Angiogenesis-PT-05-CTLFireability-8 T, 1095.61, 109713, 79995
czero, DFS, Angiogenesis-PT-05-CTLFireability-14 F, 1066.3, 112293, 81024
czero, DFS, Angiogenesis-PT-05-CTLFireability-12 T, 825.333, 94544, 66214
czero, DFS, Angiogenesis-PT-05-CTLFireability-5 F, 47.718, 6945, 5261
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-11 T, 10073.1, 388359, 275226
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-8 T, 9652.61, 388359, 275226
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-13 T, 5717.18, 293867, 208642
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-9 T, 4581.6, 212121, 147885
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-4 T, 3972.96, 212121, 147885
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-6 T, 1324.58, 128093, 92885
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-12 T, 1260.27, 128093, 92885
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-7 T, 1237.71, 128093, 92885
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-14 T, 1124.36, 109702, 79995
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-5 T, 1002.41, 109702, 79995
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-15 T, 980.349, 109702, 79995
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-10 T, 882.393, 109702, 79995
czero, DFS, Angiogenesis-PT-05-CTLFireabilitySimple-3 T, 818.453, 91129, 65995
czero, DFS, Angiogenesis-PT-10-CTLCardinality-15 T, 116374, 4871135, 3777848
czero, DFS, Angiogenesis-PT-10-CTLCardinality-4 T, 56033, 2980320, 2290010
czero, DFS, Angiogenesis-PT-10-CTLCardinality-9 F, 52207, 2984917, 2293387
czero, DFS, Angiogenesis-PT-10-CTLFireability-7 T, 205005, 5704006, 4441855
czero, DFS, Angiogenesis-PT-10-CTLFireability-2 T, 88355.6, 4024336, 3129674
czero, DFS, Angiogenesis-PT-10-CTLFireability-12 F, 55.667, 8987, 6823
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-8 T, 284161, 6371559, 4949874
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-4 T, 278136, 6371559, 4949874
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-0 T, 196974, 5701246, 4440227
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-6 T, 170071, 4591649, 3563368
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-3 T, 139629, 4591649, 3563368
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-5 T, 136515, 4591649, 3563368
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-13 T, 102508, 3130376, 2402800
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-12 T, 93027.6, 2978675, 2289689
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-1 T, 74417, 2978675, 2289689
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-11 T, 63866.7, 2983626, 2293376
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-2 T, 63619, 2979086, 2290010
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-9 T, 63506.3, 2983626, 2293376
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-14 F, 75.061, 8978, 6823
czero, DFS, Angiogenesis-PT-10-CTLFireabilitySimple-10 F, 51.214, 8978, 6823
czero, DFS, ARMCacheCoherence-PT-none-CTLCardinality-7 T, 116178, 70803, 29534
czero, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-12 F, 40.803, 2, 1
czero, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-8 F, 68.2, 24, 19
czero, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-13 F, 27.317, 2, 1
czero, DFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-9 F, 48.607, 24, 19
czero, DFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-12 F, 38.614, 2, 1
czero, DFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-8 F, 65.728, 24, 19
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 1.392, 256, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 0.138, 25, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.811, 26, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.135, 234, 120
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.183, 56, 11
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.113, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.778, 515, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.122, 21, 5
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 3.171, 864, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.047, 5, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.053, 12, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.287, 260, 128
czero, DFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.144, 1, 0
czero, DFS, CircadianClock-PT-000001-CTLCardinality-0 T, 0.063, 10, 0
czero, DFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.068, 7, 0
czero, DFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.233, 57, 36
czero, DFS, CircadianClock-PT-000001-CTLCardinality-5 F, 0.172, 55, 36
czero, DFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.023, 5, 2
czero, DFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.162, 23, 6
czero, DFS, CircadianClock-PT-000001-CTLCardinality-4 F, 0.131, 4, 0
czero, DFS, CircadianClock-PT-000001-CTLCardinality-6 T, 0.268, 55, 36
czero, DFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.092, 19, 2
czero, DFS, CircadianClock-PT-000001-CTLCardinality-8 F, 1.138, 256, 128
czero, DFS, CircadianClock-PT-000001-CTLCardinality-2 F, 0.189, 53, 36
czero, DFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.067, 12, 2
czero, DFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.067, 15, 5
czero, BestFS, CircadianClock-PT-000001-CTLFireability-4 F, 0.027, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLFireability-12 F, 1.965, 545, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireability-8 F, 0.14, 15, 2
czero, BestFS, CircadianClock-PT-000001-CTLFireability-15 F, 0.136, 23, 5
czero, BestFS, CircadianClock-PT-000001-CTLFireability-1 T, 0.439, 123, 48
czero, BestFS, CircadianClock-PT-000001-CTLFireability-5 T, 6.343, 2304, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireability-6 F, 0.155, 5, 0
czero, BestFS, CircadianClock-PT-000001-CTLFireability-7 T, 2.905, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLFireability-11 F, 0.02, 743, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireability-10 F, 6.836, 2305, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireability-3 F, 0.151, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLFireability-14 F, 0.033, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLFireability-9 F, 0.037, 6, 2
czero, BestFS, CircadianClock-PT-000001-CTLFireability-13 F, 0.051, 5, 0
czero, DFS, CircadianClock-PT-000001-CTLFireability-3 F, 3.287, 1186, 128
czero, DFS, CircadianClock-PT-000001-CTLFireability-15 F, 1.476, 319, 128
czero, DFS, CircadianClock-PT-000001-CTLFireability-9 F, 0.217, 45, 9
czero, DFS, CircadianClock-PT-000001-CTLFireability-13 F, 0.287, 72, 36
czero, DFS, CircadianClock-PT-000001-CTLFireability-8 F, 0.295, 62, 23
czero, DFS, CircadianClock-PT-000001-CTLFireability-6 F, 0.121, 5, 0
czero, DFS, CircadianClock-PT-000001-CTLFireability-14 F, 0.123, 1, 0
czero, DFS, CircadianClock-PT-000001-CTLFireability-11 F, 0.082, 1, 0
czero, DFS, CircadianClock-PT-000001-CTLFireability-10 F, 0.295, 82, 36
czero, DFS, CircadianClock-PT-000001-CTLFireability-12 F, 0.214, 70, 23
czero, DFS, CircadianClock-PT-000001-CTLFireability-1 T, 0.188, 29, 9
czero, DFS, CircadianClock-PT-000001-CTLFireability-2 F, 0.13, 3, 2
czero, DFS, CircadianClock-PT-000001-CTLFireability-7 T, 0.023, 1, 0
czero, DFS, CircadianClock-PT-000001-CTLFireability-5 T, 0.237, 103, 36
czero, DFS, CircadianClock-PT-000001-CTLFireability-0 T, 1.312, 319, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-5 T, 1.616, 256, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-10 F, 0.113, 385, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-6 F, 1.995, 22, 11
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-14 F, 1.58, 256, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-13 T, 0.068, 9, 6
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-15 F, 0.117, 9, 5
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-11 T, 1.885, 12, 6
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-9 F, 0.121, 385, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-3 F, 0.08, 3, 2
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-7 T, 0.065, 3, 2
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-4 F, 0.056, 12, 6
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-8 F, 0.11, 9, 6
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-12 T, 1.675, 385, 128
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-1 F, 0.295, 57, 36
czero, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-0 F, 0.047, 9, 5
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-7 T, 0.129, 3, 2
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-12 T, 0.066, 12, 6
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-9 F, 0.045, 4, 2
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-4 F, 0.159, 9, 6
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-1 F, 0.194, 56, 36
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-15 F, 0.055, 51, 36
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-13 T, 0.023, 6, 2
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-6 F, 0.171, 53, 36
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-11 T, 0.061, 5, 2
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-8 F, 0.206, 9, 6
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-14 F, 0.042, 12, 6
czero, DFS, CircadianClock-PT-000001-CTLFireabilitySimple-3 F, 0.022, 3, 2
