Algorithm, Search strategy, Query, Modelname, #Results),
global, BDFS, CTLCardinality, Angiogenesis-PT-01,14,
global, BDFS, CTLFireability, Angiogenesis-PT-01,14,
global, BDFS, CTLFireabilitySimple, Angiogenesis-PT-01,15,
global, BDFS, CTLCardinality, Angiogenesis-PT-05,2,
global, BDFS, CTLFireability, Angiogenesis-PT-05, ,
global, BDFS, CTLFireabilitySimple, Angiogenesis-PT-05, ,
global, BDFS, CTLCardinality, Angiogenesis-PT-10, ,
global, BDFS, CTLFireability, Angiogenesis-PT-10, ,
global, BDFS, CTLFireabilitySimple, Angiogenesis-PT-10, ,
global, BDFS, CTLCardinality, ARMCacheCoherence-PT-none, ,
global, BDFS, CTLFireability, ARMCacheCoherence-PT-none, ,
global, BDFS, CTLFireabilitySimple, ARMCacheCoherence-PT-none,2,
global, BDFS, CTLCardinality, CircadianClock-PT-000001,11,
global, BDFS, CTLFireability, CircadianClock-PT-000001,15,
global, BDFS, CTLFireabilitySimple, CircadianClock-PT-000001,13,
global, BDFS, CTLCardinality, CircadianClock-PT-000010,8,
global, BDFS, CTLFireability, CircadianClock-PT-000010,10,
global, BDFS, CTLFireabilitySimple, CircadianClock-PT-000010,15,
global, BDFS, CTLCardinality, CircadianClock-PT-000100, ,
global, BDFS, CTLFireability, CircadianClock-PT-000100,4,
global, BDFS, CTLFireabilitySimple, CircadianClock-PT-000100,4,
global, BDFS, CTLCardinality, CircularTrains-PT-012,12,
global, BDFS, CTLFireability, CircularTrains-PT-012,13,
global, BDFS, CTLFireabilitySimple, CircularTrains-PT-012,14,
global, BDFS, CTLCardinality, CircularTrains-PT-024,10,
global, BDFS, CTLFireability, CircularTrains-PT-024,7,
global, BDFS, CTLFireabilitySimple, CircularTrains-PT-024,13,
global, BDFS, CTLCardinality, CircularTrains-PT-048, ,
global, BDFS, CTLFireability, CircularTrains-PT-048, ,
global, BDFS, CTLFireabilitySimple, CircularTrains-PT-048, ,
global, BDFS, CTLCardinality, CSRepetitions-PT-02,13,
global, BDFS, CTLFireability, CSRepetitions-PT-02,7,
global, BDFS, CTLFireabilitySimple, CSRepetitions-PT-02,11,
global, BDFS, CTLCardinality, CSRepetitions-PT-03, ,
global, BDFS, CTLFireability, CSRepetitions-PT-03, ,
global, BDFS, CTLFireabilitySimple, CSRepetitions-PT-03, ,
global, BDFS, CTLCardinality, CSRepetitions-PT-04, ,
global, BDFS, CTLFireability, CSRepetitions-PT-04, ,
global, BDFS, CTLFireabilitySimple, CSRepetitions-PT-04, ,
global, BDFS, CTLCardinality, DatabaseWithMutex-PT-02,13,
global, BDFS, CTLFireability, DatabaseWithMutex-PT-02,13,
global, BDFS, CTLFireabilitySimple, DatabaseWithMutex-PT-02,15,
global, BDFS, CTLCardinality, DatabaseWithMutex-PT-04, ,
global, BDFS, CTLFireability, DatabaseWithMutex-PT-04, ,
global, BDFS, CTLFireabilitySimple, DatabaseWithMutex-PT-04, ,
global, BDFS, CTLCardinality, DatabaseWithMutex-PT-10, ,
global, BDFS, CTLFireability, DatabaseWithMutex-PT-10, ,
global, BDFS, CTLFireabilitySimple, DatabaseWithMutex-PT-10, ,
global, BDFS, CTLCardinality, Dekker-PT-010,9,
global, BDFS, CTLFireability, Dekker-PT-010,8,
global, BDFS, CTLFireabilitySimple, Dekker-PT-010,14,
global, BDFS, CTLCardinality, Dekker-PT-015,9,
global, BDFS, CTLFireability, Dekker-PT-015,5,
global, BDFS, CTLFireabilitySimple, Dekker-PT-015,15,
global, BDFS, CTLCardinality, Dekker-PT-020, ,
global, BDFS, CTLFireability, Dekker-PT-020, ,
global, BDFS, CTLFireabilitySimple, Dekker-PT-020,5,
global, BDFS, CTLCardinality, DrinkVendingMachine-PT-02,15,
global, BDFS, CTLFireability, DrinkVendingMachine-PT-02,15,
global, BDFS, CTLFireabilitySimple, DrinkVendingMachine-PT-02,15,
global, BDFS, CTLCardinality, EnergyBus-PT-none, ,
global, BDFS, CTLFireability, EnergyBus-PT-none, ,
global, BDFS, CTLFireabilitySimple, EnergyBus-PT-none, ,
global, BDFS, CTLCardinality, Eratosthenes-PT-010,13,
global, BDFS, CTLFireability, Eratosthenes-PT-010,13,
global, BDFS, CTLFireabilitySimple, Eratosthenes-PT-010,13,
global, BDFS, CTLCardinality, Eratosthenes-PT-020,10,
global, BDFS, CTLFireability, Eratosthenes-PT-020,15,
global, BDFS, CTLFireabilitySimple, Eratosthenes-PT-020,11,
global, BDFS, CTLCardinality, Eratosthenes-PT-050, ,
global, BDFS, CTLFireability, Eratosthenes-PT-050, ,
global, BDFS, CTLFireabilitySimple, Eratosthenes-PT-050, ,
global, BDFS, CTLCardinality, ERK-PT-000001,12,
global, BDFS, CTLFireability, ERK-PT-000001,14,
global, BDFS, CTLFireabilitySimple, ERK-PT-000001,15,
global, BDFS, CTLCardinality, ERK-PT-000010,9,
global, BDFS, CTLFireability, ERK-PT-000010,10,
