Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BDFS, Angiogenesis-PT-01-CTLCardinality-5 T, 6.491, 988, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.951, 351, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-2 F, 0.129, 25, 3
global, BDFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.109, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.066, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLCardinality-14 T, 5.109, 771, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-12 T, 2.47, 557, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.289, 440, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.096, 34, 3
global, BDFS, Angiogenesis-PT-01-CTLCardinality-10 T, 3.697, 333, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.337, 550, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-0 T, 2.862, 547, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-3 F, 6.843, 771, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-15 F, 3.1, 226, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-14 F, 85.252, 991, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-7 T, 65.634, 986, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-1 T, 67.782, 880, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-13 F, 6.697, 562, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-0 F, 13.747, 1558, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-15 F, 5.589, 553, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-6 F, 0.14, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLFireability-10 F, 0.054, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLFireability-11 T, 3.152, 221, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-12 F, 0.058, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLFireability-5 F, 9.692, 548, 110
global, BDFS, Angiogenesis-PT-01-CTLFireability-2 T, 0.074, 2, 0
global, BDFS, Angiogenesis-PT-01-CTLFireability-9 T, 0.039, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLFireability-8 F, 0.06, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-9 T, 3.267, 220, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-12 F, 5.457, 326, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-7 F, 3.259, 220, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-14 T, 3.276, 4, 3
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-8 F, 0.201, 220, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-2 T, 0.116, 4, 3
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-11 T, 3.335, 220, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-6 F, 0.104, 4, 3
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-13 F, 4.538, 331, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-15 F, 3.822, 331, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-4 F, 4.625, 326, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-10 T, 4.576, 326, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-3 F, 3.749, 331, 110
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-5 F, 0.075, 4, 3
global, BDFS, Angiogenesis-PT-01-CTLFireabilitySimple-1 T, 4.431, 220, 110
global, BDFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.076, 1, 0
global, BDFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.056, 1, 0
global, BDFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-13 F, 24.957, 2, 1
global, BDFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-12 F, 37.471, 2, 1
global, BDFS, CircadianClock-PT-000001-CTLCardinality-15 T, 4.699, 641, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.124, 1, 0
global, BDFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.143, 16, 0
global, BDFS, CircadianClock-PT-000001-CTLCardinality-14 T, 2.69, 1280, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-2 F, 1.838, 385, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-11 T, 2.592, 1152, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.124, 273, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-5 F, 2.87, 515, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-10 T, 2.276, 523, 128
global, BDFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.091, 19, 2
global, BDFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.687, 260, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-3 F, 299.561, 2305, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-10 F, 89.173, 1280, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-12 F, 5.125, 654, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-8 F, 2.58, 641, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-11 F, 0.07, 1, 0
global, BDFS, CircadianClock-PT-000001-CTLFireability-6 F, 0.128, 15, 0
global, BDFS, CircadianClock-PT-000001-CTLFireability-1 T, 1.807, 395, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-13 F, 1.9, 277, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-5 T, 6.649, 2304, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-15 F, 2.169, 535, 128
global, BDFS, CircadianClock-PT-000001-CTLFireability-9 F, 2.489, 386, 128
