Algorithm, Search strategy, Query, Modelname, #Results)
local, BestFS, CTLCardinality, Angiogenesis-PT-01, 12
local, BestFS, CTLFireability, Angiogenesis-PT-01, 14
local, BestFS, CTLFireabilitySimple, Angiogenesis-PT-01, 14
local, BestFS, CTLCardinality, Angiogenesis-PT-05, 3
local, BestFS, CTLFireability, Angiogenesis-PT-05, 
local, BestFS, CTLFireabilitySimple, Angiogenesis-PT-05, 
local, BestFS, CTLCardinality, Angiogenesis-PT-10, 
local, BestFS, CTLFireability, Angiogenesis-PT-10, 
local, BestFS, CTLFireabilitySimple, Angiogenesis-PT-10, 
local, BestFS, CTLCardinality, ARMCacheCoherence-PT-none, 
local, BestFS, CTLFireability, ARMCacheCoherence-PT-none, 
local, BestFS, CTLFireabilitySimple, ARMCacheCoherence-PT-none, 4
local, BestFS, CTLCardinality, CircadianClock-PT-000001, 13
local, BestFS, CTLFireability, CircadianClock-PT-000001, 12
local, BestFS, CTLFireabilitySimple, CircadianClock-PT-000001, 10
local, BestFS, CTLCardinality, CircadianClock-PT-000010, 
local, BestFS, CTLFireability, CircadianClock-PT-000010, 4
local, BestFS, CTLFireabilitySimple, CircadianClock-PT-000010, 7
local, BestFS, CTLCardinality, CircadianClock-PT-000100, 
local, BestFS, CTLFireability, CircadianClock-PT-000100, 7
local, BestFS, CTLFireabilitySimple, CircadianClock-PT-000100, 10
local, BestFS, CTLCardinality, CircularTrains-PT-012, 14
local, BestFS, CTLFireability, CircularTrains-PT-012, 12
local, BestFS, CTLFireabilitySimple, CircularTrains-PT-012, 13
local, BestFS, CTLCardinality, CircularTrains-PT-024, 11
local, BestFS, CTLFireability, CircularTrains-PT-024, 7
local, BestFS, CTLFireabilitySimple, CircularTrains-PT-024, 16
local, BestFS, CTLCardinality, CircularTrains-PT-048, 4
local, BestFS, CTLFireability, CircularTrains-PT-048, 1
local, BestFS, CTLFireabilitySimple, CircularTrains-PT-048, 
local, BestFS, CTLCardinality, CSRepetitions-PT-02, 15
local, BestFS, CTLFireability, CSRepetitions-PT-02, 14
local, BestFS, CTLFireabilitySimple, CSRepetitions-PT-02, 12
local, BestFS, CTLCardinality, CSRepetitions-PT-03, 1
local, BestFS, CTLFireability, CSRepetitions-PT-03, 
local, BestFS, CTLFireabilitySimple, CSRepetitions-PT-03, 
local, BestFS, CTLCardinality, CSRepetitions-PT-04, 1
local, BestFS, CTLFireability, CSRepetitions-PT-04, 1
local, BestFS, CTLFireabilitySimple, CSRepetitions-PT-04, 
local, BestFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
local, BestFS, CTLFireability, DatabaseWithMutex-PT-02, 13
local, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-02, 14
local, BestFS, CTLCardinality, DatabaseWithMutex-PT-04, 
local, BestFS, CTLFireability, DatabaseWithMutex-PT-04, 
local, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-04, 
local, BestFS, CTLCardinality, DatabaseWithMutex-PT-10, 
local, BestFS, CTLFireability, DatabaseWithMutex-PT-10, 
local, BestFS, CTLFireabilitySimple, DatabaseWithMutex-PT-10, 
local, BestFS, CTLCardinality, Dekker-PT-010, 13
local, BestFS, CTLFireability, Dekker-PT-010, 12
local, BestFS, CTLFireabilitySimple, Dekker-PT-010, 15
local, BestFS, CTLCardinality, Dekker-PT-015, 
local, BestFS, CTLFireability, Dekker-PT-015, 2
local, BestFS, CTLFireabilitySimple, Dekker-PT-015, 11
local, BestFS, CTLCardinality, Dekker-PT-020, 1
local, BestFS, CTLFireability, Dekker-PT-020, 
local, BestFS, CTLFireabilitySimple, Dekker-PT-020, 11
local, BestFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
local, BestFS, CTLFireability, DrinkVendingMachine-PT-02, 15
local, BestFS, CTLFireabilitySimple, DrinkVendingMachine-PT-02, 14
local, BestFS, CTLCardinality, EnergyBus-PT-none, 
local, BestFS, CTLFireability, EnergyBus-PT-none, 
local, BestFS, CTLFireabilitySimple, EnergyBus-PT-none, 
local, BestFS, CTLCardinality, Eratosthenes-PT-010, 13
local, BestFS, CTLFireability, Eratosthenes-PT-010, 14
local, BestFS, CTLFireabilitySimple, Eratosthenes-PT-010, 14
local, BestFS, CTLCardinality, Eratosthenes-PT-020, 15
local, BestFS, CTLFireability, Eratosthenes-PT-020, 12
local, BestFS, CTLFireabilitySimple, Eratosthenes-PT-020, 13
local, BestFS, CTLCardinality, Eratosthenes-PT-050, 4
