Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.076, 489, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 3.958, 550, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.05, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.128, 19, 8
local, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 4.481, 440, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 0.058, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.102, 25, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.079, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 1.915, 351, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.162, 34, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.601, 226, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.543, 672, 110
local, BestFS, Angiogenesis-PT-01-CTLFireability-14 F, 7.659, 991, 110
local, BestFS, Angiogenesis-PT-01-CTLFireability-7 T, 2.783, 348, 102
local, BestFS, Angiogenesis-PT-01-CTLFireability-13 F, 0.365, 40, 8
local, BestFS, Angiogenesis-PT-01-CTLFireability-15 F, 2.578, 281, 62
local, BestFS, Angiogenesis-PT-01-CTLFireability-10 F, 0.055, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-9 T, 0.059, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-8 F, 0.044, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-5 F, 0.443, 49, 15
local, BestFS, Angiogenesis-PT-01-CTLFireability-11 T, 0.181, 13, 8
local, BestFS, Angiogenesis-PT-01-CTLFireability-2 T, 5.951, 2, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-3 F, 0.051, 572, 110
local, BestFS, Angiogenesis-PT-01-CTLFireability-12 F, 0.03, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-6 F, 0.032, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireability-4 F, 0.035, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-11 T, 2.762, 220, 110
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-4 F, 0.779, 16, 8
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-12 F, 0.504, 64, 32
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-10 T, 3.069, 44, 18
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-13 F, 3.094, 331, 110
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-15 F, 0.086, 331, 110
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-8 F, 0.172, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-7 F, 0.172, 12, 8
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-5 F, 0.113, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-9 T, 0.622, 31, 18
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-3 F, 3.342, 331, 110
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-6 F, 0.083, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-0 F, 0.164, 12, 8
local, BestFS, Angiogenesis-PT-01-CTLFireabilitySimple-14 T, 0.1, 4, 3
local, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.13, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.145, 34, 12
local, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.066, 1, 0
local, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-13 F, 25.489, 2, 1
local, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-9 F, 446.411, 130, 105
local, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-8 F, 90.283, 24, 19
local, BestFS, ARMCacheCoherence-PT-none-CTLFireabilitySimple-12 F, 32.418, 2, 1
local, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 2.927, 864, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.133, 56, 11
local, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.841, 234, 120
local, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 1.284, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 0.113, 16, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.106, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.072, 25, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 1.552, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 0.092, 26, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 1.648, 21, 5
local, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 0.016, 515, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.092, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 1.12, 397, 128
local, BestFS, CircadianClock-PT-000001-CTLFireability-11 F, 2.387, 545, 128
local, BestFS, CircadianClock-PT-000001-CTLFireability-8 F, 0.133, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLFireability-10 F, 2.877, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLFireability-15 F, 0.191, 743, 128
local, BestFS, CircadianClock-PT-000001-CTLFireability-7 T, 1.451, 49, 11
local, BestFS, CircadianClock-PT-000001-CTLFireability-13 F, 0.156, 277, 128
local, BestFS, CircadianClock-PT-000001-CTLFireability-14 F, 7.133, 2304, 128
local, BestFS, CircadianClock-PT-000001-CTLFireability-5 T, 0.036, 3, 2
local, BestFS, CircadianClock-PT-000001-CTLFireability-2 F, 0.155, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLFireability-12 F, 0.397, 130, 36
local, BestFS, CircadianClock-PT-000001-CTLFireability-6 F, 0.054, 15, 0
local, BestFS, CircadianClock-PT-000001-CTLFireability-9 F, 2.297, 386, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-9 F, 1.691, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-10 F, 1.668, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-13 T, 1.436, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-14 F, 0.077, 12, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-12 T, 0.259, 57, 36
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-6 F, 0.123, 22, 11
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-11 T, 0.038, 9, 5
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-15 F, 0.112, 9, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-8 F, 0.088, 9, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-7 T, 0.062, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireability-11 F, 0.119, 1, 0
local, BestFS, CircadianClock-PT-000010-CTLFireability-15 T, 0.073, 2, 0
local, BestFS, CircadianClock-PT-000010-CTLFireability-8 F, 0.028, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireability-9 T, 0.023, 1, 0
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-6 F, 44.596, 12475, 7392
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-15 F, 0.157, 11, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-10 F, 0.089, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-3 F, 0.096, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-12 F, 0.076, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-13 F, 0.07, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-14 F, 0.053, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireability-7 T, 175468, 372129, 70305
local, BestFS, CircadianClock-PT-000100-CTLFireability-9 T, 0.121, 21, 12
local, BestFS, CircadianClock-PT-000100-CTLFireability-15 F, 0.091, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireability-12 F, 0.185, 39, 12
local, BestFS, CircadianClock-PT-000100-CTLFireability-8 T, 0.021, 2, 0
local, BestFS, CircadianClock-PT-000100-CTLFireability-10 F, 0.056, 1, 0
local, BestFS, CircadianClock-PT-000100-CTLFireability-11 T, 0.074, 2, 0
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-9 F, 0.076, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-12 T, 0.114, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-4 F, 0.07, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-15 T, 0.079, 10, 6
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-14 F, 0.025, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-13 F, 0.067, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-11 F, 0.024, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-5 F, 0.094, 14, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-7 F, 0.062, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-8 F, 0.071, 15, 9
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.772, 591, 195
