Algorithm, Search strategy, Query, Modelname, #Results)
czero, BBFS, CTLCardinality, Angiogenesis-PT-01, 12
czero, BDFS, CTLCardinality, Angiogenesis-PT-01, 15
czero, BestFS, CTLCardinality, Angiogenesis-PT-01, 13
czero, BFS, CTLCardinality, Angiogenesis-PT-01, 14
czero, CDFS, CTLCardinality, Angiogenesis-PT-01, 13
czero, DFS, CTLCardinality, Angiogenesis-PT-01, 15
global, BBFS, CTLCardinality, Angiogenesis-PT-01, 11
global, BDFS, CTLCardinality, Angiogenesis-PT-01, 13
global, BestFS, CTLCardinality, Angiogenesis-PT-01, 13
global, BFS, CTLCardinality, Angiogenesis-PT-01, 12
global, DFS, CTLCardinality, Angiogenesis-PT-01, 11
local, BBFS, CTLCardinality, Angiogenesis-PT-01, 14
local, BDFS, CTLCardinality, Angiogenesis-PT-01, 14
local, BestFS, CTLCardinality, Angiogenesis-PT-01, 14
local, BFS, CTLCardinality, Angiogenesis-PT-01, 12
local, DFS, CTLCardinality, Angiogenesis-PT-01, 14
czero, BBFS, CTLCardinality, Angiogenesis-PT-05, 4
czero, BDFS, CTLCardinality, Angiogenesis-PT-05, 4
czero, BestFS, CTLCardinality, Angiogenesis-PT-05, 4
czero, BFS, CTLCardinality, Angiogenesis-PT-05, 4
czero, CDFS, CTLCardinality, Angiogenesis-PT-05, 5
czero, DFS, CTLCardinality, Angiogenesis-PT-05, 7
global, BBFS, CTLCardinality, Angiogenesis-PT-05, 2
global, BDFS, CTLCardinality, Angiogenesis-PT-05, 1
global, BestFS, CTLCardinality, Angiogenesis-PT-05, 2
global, BFS, CTLCardinality, Angiogenesis-PT-05, 2
global, DFS, CTLCardinality, Angiogenesis-PT-05, 2
local, BBFS, CTLCardinality, Angiogenesis-PT-05, 3
local, BDFS, CTLCardinality, Angiogenesis-PT-05, 3
local, BestFS, CTLCardinality, Angiogenesis-PT-05, 3
local, BFS, CTLCardinality, Angiogenesis-PT-05, 3
local, DFS, CTLCardinality, Angiogenesis-PT-05, 6
