Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.045, 1, 0
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.113, 25, 3
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.629, 226, 110
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.089, 347, 110
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.108, 19, 8
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.315, 722, 110
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.11, 4, 3
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.063, 1, 0
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.101, 34, 3
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-9 T, 3.831, 550, 110
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.546, 436, 110
czero, BBFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.194, 507, 110
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.231, 550, 110
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.89, 200, 39
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.969, 226, 110
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.061, 1, 0
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.56, 683, 110
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-4 T, 2.594, 348, 88
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.141, 4, 3
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.095, 34, 3
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-6 F, 1.704, 281, 88
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.057, 1, 0
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-3 F, 2.211, 355, 110
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-2 F, 2.087, 605, 88
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.089, 25, 3
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.128, 19, 8
czero, BDFS, Angiogenesis-PT-01-CTLCardinality-0 T, 0.119, 25, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 3.952, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.069, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.185, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 1.952, 491, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.061, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.123, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 1.981, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.094, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.114, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 2.031, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.568, 672, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.774, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 2.599, 771, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.343, 513, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.088, 25, 3
czero, BFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.078, 34, 3
czero, BFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.948, 226, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.038, 1, 0
czero, BFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.064, 1, 0
czero, BFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.134, 4, 3
czero, BFS, Angiogenesis-PT-01-CTLCardinality-2 F, 1.736, 351, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-11 F, 2.436, 771, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.438, 73, 18
czero, BFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.005, 550, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.143, 19, 8
czero, BFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.797, 440, 110
czero, BFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.887, 722, 110
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-15 F, 2.074, 268, 87
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-9 T, 2.167, 226, 110
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-14 T, 2.177, 492, 106
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.087, 11, 3
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-2 F, 0.045, 1, 0
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.126, 34, 3
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.043, 1, 0
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.078, 4, 3
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.73, 668, 110
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-4 T, 0.088, 9, 3
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.085, 11, 3
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.039, 12, 0
czero, CDFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.107, 19, 8
czero, DFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.028, 268, 87
czero, DFS, Angiogenesis-PT-01-CTLCardinality-9 T, 0.14, 19, 8
czero, DFS, Angiogenesis-PT-01-CTLCardinality-0 T, 0.181, 9, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-4 T, 2.297, 668, 110
czero, DFS, Angiogenesis-PT-01-CTLCardinality-5 T, 0.086, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.087, 11, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.076, 12, 0
czero, DFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.128, 19, 8
czero, DFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.094, 4, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.112, 34, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.926, 226, 110
czero, DFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.06, 12, 3
czero, DFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.094, 492, 106
czero, DFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.017, 1, 0
czero, DFS, Angiogenesis-PT-01-CTLCardinality-2 F, 0.048, 11, 3
global, BBFS, Angiogenesis-PT-01-CTLCardinality-15 F, 2.465, 226, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-6 F, 4.33, 550, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-9 T, 0.177, 25, 3
global, BBFS, Angiogenesis-PT-01-CTLCardinality-13 T, 3.133, 351, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.064, 1, 0
global, BBFS, Angiogenesis-PT-01-CTLCardinality-10 T, 3.482, 333, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-11 F, 6.018, 988, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.712, 557, 110
global, BBFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.086, 4, 3
global, BBFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.129, 34, 3
global, BBFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.046, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLCardinality-3 F, 7.099, 771, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-15 F, 2.826, 226, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.07, 440, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-10 T, 3.454, 550, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-9 T, 2.601, 557, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-7 T, 3.787, 333, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-8 T, 2.768, 351, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.067, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.046, 1, 0
global, BDFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.131, 34, 3
global, BDFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.215, 25, 3
global, BDFS, Angiogenesis-PT-01-CTLCardinality-5 T, 5.73, 988, 110
global, BDFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.076, 4, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 6.531, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 5.112, 440, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.832, 550, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 10.839, 988, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.098, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.068, 4, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.132, 25, 3
