Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.321, 501, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.882, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.16, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.15, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 2.003, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.08, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.087, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 2.13, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 4.209, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 0.057, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 2.643, 771, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.533, 672, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.128, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.219, 35, 8
global, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 3.904, 557, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.927, 550, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 4.632, 351, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.075, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 5.078, 333, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.132, 34, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 3.705, 226, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.065, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 10.902, 988, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 5.221, 440, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.144, 25, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 7.63, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.087, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.084, 351, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.473, 550, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.043, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-1 F, 0.053, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.161, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.155, 19, 8
local, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.071, 501, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.086, 25, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.096, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 2.527, 672, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 4.695, 440, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.132, 34, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 1.754, 294, 93
local, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.933, 226, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 2.615, 771, 110
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.132, 34, 12
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.072, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-12 F, 0.154, 40, 12
global, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.044, 1, 0
global, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.044, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.137, 34, 12
local, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.079, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.071, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 1.4, 14, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 0.095, 256, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.143, 25, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-1 F, 0.182, 33, 11
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 0.124, 26, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 1.336, 260, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.801, 515, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 1.214, 397, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.018, 234, 120
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.053, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.189, 21, 5
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.199, 5, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.9, 56, 11
global, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 90.357, 896, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 9.934, 896, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 7.124, 256, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 2.344, 1280, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.319, 273, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.086, 1, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 9.706, 641, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 9.428, 515, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 7.799, 1152, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.098, 16, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-1 F, 1.406, 273, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 3.724, 523, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 4.906, 260, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.123, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 1.232, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.152, 56, 11
local, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.134, 21, 5
local, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.13, 25, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.017, 234, 120
local, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.752, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 2.521, 386, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 1.265, 269, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.301, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.061, 26, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.04, 16, 0
