Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.131, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.097, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.113, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.971, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.124, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.13, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.076, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.212, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.114, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.397, 489, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.817, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.218, 35, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.516, 672, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 5.117, 333, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.284, 550, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.031, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.11, 4, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.114, 25, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 3.229, 226, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 3.953, 351, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 10.082, 988, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 5.011, 440, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.066, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 8.857, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 3.629, 557, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.128, 34, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.762, 440, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 2.246, 294, 93
local, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 2.22, 489, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 0.046, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 1.929, 226, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.07, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 3.377, 550, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 0.086, 25, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.103, 672, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 2.678, 351, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.027, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.133, 19, 8
local, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.075, 34, 3
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.141, 34, 12
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.039, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-12 F, 0.134, 40, 12
global, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.056, 1, 0
global, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.024, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.137, 34, 12
local, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.134, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.076, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.064, 56, 11
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 1.304, 14, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.091, 260, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 0.174, 21, 5
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.106, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 2.939, 864, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.201, 25, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.196, 234, 120
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 0.865, 397, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.065, 5, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 2.176, 386, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.086, 26, 6
global, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 6.289, 1280, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 8.529, 896, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 7.209, 515, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 3.055, 523, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 9.148, 16, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.144, 641, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.094, 1, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.385, 273, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 2.332, 256, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 7.347, 1152, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 4.896, 260, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.056, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.781, 515, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 1.287, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.114, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.189, 26, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.844, 56, 11
local, BestFS, CircadianClock-PT-000001-CTLCardinality-2 F, 0.088, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.263, 234, 120
local, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.109, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.71, 21, 5
local, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.069, 16, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 2.27, 386, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.472, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.114, 25, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 2.973, 864, 128
czero, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 5.601, 1561, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.712, 591, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.817, 586, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.959, 786, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.071, 2, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.065, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.077, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.022, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.018, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.062, 29, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.029, 5, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.091, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 384.607, 1561, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 8.061, 786, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 19.792, 591, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.196, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 5.182, 588, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 0.086, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.058, 2, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.044, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-0 T, 4.077, 395, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.033, 5, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.083, 11, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.181, 29, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.02, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.044, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 6.057, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.049, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 1.64, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 0.045, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 2.088, 1123, 177
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.057, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.124, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.128, 29, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.022, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.051, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.735, 591, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.931, 786, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-1 F, 0.578, 203, 98
local, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.076, 11, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.054, 1, 0
