Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 0.038, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 2.54, 672, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.126, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.248, 489, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.059, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.079, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.138, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.088, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.596, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 2.039, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 2.186, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 0.104, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.192, 35, 8
global, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 4.373, 351, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 7.495, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.805, 550, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 10.977, 988, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 3.624, 25, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.123, 226, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 5.805, 333, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.051, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.129, 34, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.077, 4, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.703, 440, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.061, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 3.766, 557, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 9.322, 771, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 1.963, 226, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.109, 34, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.106, 25, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.067, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-1 F, 0.074, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.079, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 3.948, 550, 110
