Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.073, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.226, 19, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 0.126, 1, 0
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 1.636, 226, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.047, 4, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.111, 25, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 2.505, 672, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 0.2, 35, 8
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 0.131, 34, 3
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.136, 550, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 2.137, 351, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 1.876, 489, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 3.984, 440, 110
czero, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 2.564, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.076, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 3.643, 557, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 0.157, 4, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 4.999, 333, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.126, 25, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 3.55, 226, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.043, 1, 0
global, BestFS, Angiogenesis-PT-01-CTLCardinality-3 F, 8.625, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 5.63, 550, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-6 F, 4.265, 351, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 9.637, 988, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-4 T, 4.973, 440, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 6.531, 771, 110
global, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.129, 34, 3
global, BestFS, Angiogenesis-PT-01-CTLCardinality-1 F, 0.019, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-2 F, 0.144, 19, 8
local, BestFS, Angiogenesis-PT-01-CTLCardinality-11 F, 2.012, 226, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-10 T, 2.361, 771, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-15 F, 0.132, 4, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-7 T, 2.029, 489, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-8 T, 0.117, 34, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-12 T, 0.05, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-13 T, 0.102, 25, 3
local, BestFS, Angiogenesis-PT-01-CTLCardinality-9 T, 4.003, 550, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-14 T, 0.062, 1, 0
local, BestFS, Angiogenesis-PT-01-CTLCardinality-5 T, 2.511, 672, 110
local, BestFS, Angiogenesis-PT-01-CTLCardinality-0 T, 0.109, 25, 8
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.124, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.092, 1, 0
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.196, 34, 12
czero, BestFS, Angiogenesis-PT-05-CTLCardinality-12 F, 0.186, 40, 12
global, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.033, 1, 0
global, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.021, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-11 F, 0.058, 1, 0
local, BestFS, Angiogenesis-PT-05-CTLCardinality-15 F, 0.15, 34, 12
local, BestFS, Angiogenesis-PT-05-CTLCardinality-13 F, 0.039, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.049, 1, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 3.157, 864, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 0.201, 5, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.141, 25, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 0.129, 397, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-1 F, 1.38, 33, 11
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 0.2, 256, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.134, 56, 11
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.761, 12, 0
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.254, 234, 120
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.088, 21, 5
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.632, 515, 128
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.076, 26, 6
czero, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.348, 260, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 84.257, 896, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 7.353, 1152, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 9.053, 641, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.198, 1280, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.141, 19, 2
global, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 3.38, 1, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 6.44, 523, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 2.274, 260, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 7.347, 256, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 8.701, 515, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 0.136, 896, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 5.003, 16, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.578, 273, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.244, 56, 11
local, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.082, 21, 5
local, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.121, 25, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.107, 16, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 1.246, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 0.117, 26, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.108, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.706, 234, 120
local, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 2.989, 864, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 0.09, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 2.566, 386, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-2 F, 2.001, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 1.369, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 1.88, 515, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 1.156, 397, 128
